aX,aY,aZ,gX,gY,gZ
0.157,-0.139,0.859,-13.611,51.514,36.682
0.182,-0.159,0.841,-16.113,50.781,36.194
0.156,-0.174,0.855,-18.311,49.194,36.194
0.142,-0.195,0.852,-19.714,51.270,36.316
0.146,-0.165,0.835,-15.320,51.270,37.476
0.199,-0.148,0.821,-6.042,48.706,38.696
0.252,-0.101,0.786,0.366,44.800,38.147
0.312,-0.056,0.779,5.127,39.001,36.682
0.335,-0.052,0.790,3.906,32.532,33.691
0.403,-0.059,0.795,-4.456,25.818,28.625
0.453,-0.086,0.806,-16.052,18.982,22.461
0.478,-0.134,0.836,-26.367,16.052,17.029
0.492,-0.186,0.861,-33.142,16.479,11.902
0.469,-0.215,0.871,-32.532,18.921,7.263
0.480,-0.230,0.874,-27.222,26.917,4.272
0.501,-0.224,0.873,-19.226,32.776,5.432
0.486,-0.204,0.877,-13.000,32.104,7.446
0.494,-0.197,0.879,-13.794,30.640,7.996
0.496,-0.196,0.854,-17.761,27.954,7.751
0.557,-0.219,0.844,-20.996,27.222,8.911
0.577,-0.233,0.827,-23.010,22.583,8.789
0.593,-0.234,0.832,-19.836,19.348,10.193
0.621,-0.204,0.839,-12.329,17.395,12.329
0.648,-0.163,0.841,-4.639,17.212,15.625
0.700,-0.115,0.858,1.282,17.151,19.653
0.727,-0.079,0.869,4.395,13.855,22.217
0.751,-0.046,0.873,4.761,12.878,24.170
0.758,-0.008,0.884,3.723,12.024,24.353
0.780,0.009,0.871,3.479,11.597,23.315
0.791,0.023,0.866,3.235,11.658,21.179
0.801,0.038,0.842,2.686,10.620,19.348
0.806,0.047,0.825,3.906,8.789,18.005
0.781,0.062,0.821,6.226,6.592,17.151
0.742,0.079,0.816,9.521,4.639,16.296
0.703,0.093,0.809,14.099,2.319,14.832
0.685,0.101,0.793,17.273,-1.404,12.817
0.664,0.105,0.788,17.700,-5.859,10.681
0.659,0.098,0.783,16.418,-10.498,7.385
0.668,0.081,0.780,15.198,-15.259,2.441
0.672,0.049,0.793,12.451,-20.386,-1.831
0.677,0.016,0.808,10.315,-25.024,-4.456
0.680,-0.003,0.827,11.414,-28.931,-5.737
0.680,-0.012,0.856,15.808,-30.762,-6.409
0.678,-0.003,0.886,22.827,-31.067,-5.249
0.668,0.036,0.897,30.212,-30.396,-2.686
0.653,0.085,0.895,36.682,-28.992,-2.136
0.627,0.125,0.893,40.894,-27.527,-4.272
0.612,0.149,0.885,41.565,-26.428,-8.423
