aX,aY,aZ,gX,gY,gZ
0.632,-0.037,0.598,-30.212,117.126,18.860
0.623,-0.031,0.562,-32.776,121.277,16.907
0.616,-0.027,0.529,-34.607,124.084,13.733
0.611,-0.031,0.483,-35.706,126.770,10.498
0.615,-0.040,0.439,-36.499,128.967,7.507
0.621,-0.061,0.397,-35.461,131.653,5.798
0.636,-0.076,0.347,-31.250,135.620,3.967
0.630,-0.076,0.292,-24.963,140.991,5.310
0.619,-0.060,0.258,-20.691,143.127,9.216
0.606,-0.029,0.244,-20.813,142.700,12.634
0.600,-0.018,0.244,-21.790,143.372,13.855
0.614,-0.013,0.211,-25.024,144.592,14.893
0.605,-0.016,0.196,-29.907,147.339,15.259
0.605,-0.008,0.199,-33.875,149.048,16.296
0.616,-0.005,0.190,-38.818,152.893,16.235
0.605,-0.010,0.177,-44.250,157.654,17.090
0.589,-0.030,0.157,-49.805,162.659,17.944
0.560,-0.043,0.135,-52.490,168.762,19.287
0.531,-0.049,0.103,-52.124,175.049,20.508
0.477,-0.040,0.058,-49.622,181.152,21.606
0.440,-0.037,0.011,-45.166,185.486,22.522
0.405,-0.039,-0.017,-43.762,188.538,22.705
0.372,-0.033,-0.014,-42.664,189.819,23.437
0.376,-0.016,-0.005,-41.992,190.979,24.231
0.351,-0.005,0.011,-45.349,196.289,24.780
0.327,0.004,0.007,-49.072,202.576,24.902
0.292,0.002,-0.009,-55.115,210.022,25.452
0.250,0.012,-0.009,-59.998,218.811,26.306
0.204,0.003,-0.010,-62.378,228.149,26.855
0.157,-0.005,-0.008,-66.650,237.610,27.344
0.105,-0.010,0.004,-71.350,246.643,28.992
0.036,-0.014,0.009,-77.209,255.615,29.419
-0.054,0.008,-0.002,-81.665,265.259,28.564
-0.116,-0.017,-0.029,-86.914,276.794,24.414
-0.206,0.001,-0.048,-92.773,291.321,20.142
-0.314,0.019,-0.113,-98.938,308.533,17.517
-0.442,0.041,-0.255,-115.662,331.848,15.686
-0.606,0.051,-0.438,-138.184,356.384,12.085
-0.774,-0.009,-0.640,-173.035,378.113,3.113
-0.924,-0.179,-0.894,-214.661,394.043,-11.230
-1.060,-0.437,-1.146,-256.348,403.748,-29.053
-1.145,-0.727,-1.516,-286.804,401.489,-44.678
-1.105,-0.963,-1.938,-291.626,386.963,-56.091
-0.965,-1.115,-2.402,-266.479,366.028,-61.401
-0.795,-1.205,-2.781,-214.417,336.487,-61.096
-0.649,-1.189,-3.060,-156.128,299.927,-51.147
-0.518,-1.109,-3.304,-103.699,257.751,-37.292
-0.438,-0.962,-3.492,-57.251,213.013,-22.278
-0.397,-0.768,-3.457,-12.756,156.067,-7.507
-0.341,-0.570,-3.094,22.644,87.646,2.258
-0.186,-0.483,-2.518,43.518,21.057,3.723
-0.013,-0.455,-1.921,49.194,-26.978,2.625
0.137,-0.465,-1.412,44.556,-52.490,3.296
0.258,-0.468,-1.069,34.485,-54.932,4.639
0.315,-0.477,-0.885,26.611,-38.147,6.470
0.319,-0.467,-0.857,26.794,-12.390,7.263
-1.742,-0.823,-0.884,-267.273,449.280,-7.385
-1.988,-1.001,-1.617,-312.866,470.398,-5.981
-2.095,-1.264,-2.431,-348.389,466.675,-12.390
-1.921,-1.541,-3.203,-352.295,437.805,-25.940
-1.493,-1.786,-3.940,-302.917,393.311,-42.847
-0.944,-1.764,-4.000,-219.177,335.449,-45.105
-0.648,-1.408,-4.000,-123.840,274.109,-28.259
-0.741,-0.941,-4.000,-36.133,210.693,-4.456
-0.743,-0.583,-4.000,23.132,106.873,9.644
-0.386,-0.436,-3.583,56.091,-25.452,12.512
-0.085,-0.425,-2.153,64.087,-116.150,14.343
0.163,-0.359,-1.157,65.552,-142.822,13.733
0.341,-0.325,-0.638,66.223,-124.207,8.484
0.447,-0.336,-0.407,59.570,-89.172,3.296
0.471,-0.350,-0.378,47.302,-51.636,2.991
0.425,-0.342,-0.498,36.926,-16.479,5.249
0.327,-0.336,-0.727,30.640,13.245,7.202
0.223,-0.301,-0.943,24.353,33.020,9.094
0.146,-0.286,-1.121,15.442,40.527,10.254
0.094,-0.262,-1.302,2.808,39.978,10.925
0.047,-0.249,-1.409,-9.277,32.227,10.437
0.024,-0.274,-1.475,-15.564,23.010,7.874
0.017,-0.327,-1.508,-16.052,13.977,4.272
0.031,-0.399,-1.507,-11.536,5.737,0.977
0.057,-0.448,-1.458,-4.333,-2.502,-0.610
0.088,-0.437,-1.363,4.395,-10.986,0.610
0.120,-0.412,-1.272,13.733,-17.273,1.831
0.146,-0.370,-1.187,21.667,-20.874,3.113
0.161,-0.306,-1.122,24.658,-23.315,5.066
0.169,-0.247,-1.075,21.667,-24.963,6.836
0.166,-0.213,-1.049,16.418,-25.269,7.690
0.160,-0.207,-1.036,10.986,-24.902,6.897
0.152,-0.223,-1.031,7.324,-24.231,5.981
0.146,-0.255,-1.026,5.981,-23.987,5.127
